,Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,date,time_extracted,Day,Month,Year
0,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6.67E+15,2020-06-30 21:09:00+00:00,365,4,0.010958904,0,0,1,2,0,0,1,0,0,30-06-2020,21:09,30,6,2020
1,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8.27E+15,2020-06-30 17:14:00+00:00,184,2,0.010869565,0,0,2,0,0,0,0,0,0,30-06-2020,17:14,30,6,2020
2,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,2.81E+14,2020-06-30 16:59:00+00:00,2644,46,0.017397882,1,1,17,0,3,0,23,354,1,30-06-2020,16:59,30,6,2020
3,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7.76E+15,2020-06-30 13:55:00+00:00,301,3,0.009966777,0,1,2,0,0,0,0,0,0,30-06-2020,13:55,30,6,2020
4,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6.13E+15,2020-06-30 12:13:00+00:00,528,0,0,0,0,0,0,0,0,0,0,0,30-06-2020,12:13,30,6,2020
5,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7.16E+15,2020-06-30 12:06:00+00:00,962,37,0.038461538,0,2,7,6,0,3,19,0,0,30-06-2020,12:06,30,6,2020
6,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8.41E+15,2020-06-30 11:29:00+00:00,198,4,0.02020202,0,0,1,1,0,0,2,0,0,30-06-2020,11:29,30,6,2020
7,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1.70E+15,2020-06-30 11:20:00+00:00,1298,28,0.021571649,0,2,3,0,0,3,20,0,0,30-06-2020,11:20,30,6,2020
8,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5.74E+15,2020-06-30 11:04:00+00:00,160,3,0.01875,0,1,1,0,0,0,1,27,0,30-06-2020,11:04,30,6,2020
9,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7.94E+15,2020-06-30 11:01:00+00:00,1080,25,0.023148148,0,2,7,0,2,2,9,191,3,30-06-2020,11:01,30,6,2020
10,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3.51E+15,2020-06-30 10:53:00+00:00,477,19,0.039832285,0,0,1,0,0,1,4,13,13,30-06-2020,10:53,30,6,2020
11,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5.00E+15,2020-06-30 10:53:00+00:00,295,5,0.016949153,0,1,2,0,0,0,2,0,0,30-06-2020,10:53,30,6,2020
12,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8.68E+15,2020-06-30 10:51:00+00:00,77,2,0.025974026,0,1,1,0,0,0,0,0,0,30-06-2020,10:51,30,6,2020
13,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,1.43E+14,2020-06-30 10:27:00+00:00,185,7,0.037837838,0,0,1,0,0,0,6,0,0,30-06-2020,10:27,30,6,2020
14,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8.25E+15,2020-06-30 10:24:00+00:00,854,16,0.018735363,0,2,3,2,0,5,4,0,0,30-06-2020,10:24,30,6,2020
15,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5.01E+15,2020-06-30 10:09:00+00:00,289,4,0.01384083,0,1,2,0,1,0,0,56,0,30-06-2020,10:09,30,6,2020
16,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1.59E+15,2020-06-30 09:56:00+00:00,1449,65,0.044858523,0,1,19,4,3,1,3,34,34,30-06-2020,09:56,30,6,2020
17,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3.42E+15,2020-06-30 09:48:00+00:00,37,2,0.054054054,0,1,0,0,0,0,1,0,0,30-06-2020,09:48,30,6,2020
18,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9.65E+15,2020-06-30 09:42:00+00:00,63,1,0.015873016,0,1,0,0,0,0,0,0,0,30-06-2020,09:42,30,6,2020
19,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,3.10E+14,2020-06-30 09:41:00+00:00,50,0,0,0,0,0,0,0,0,0,0,0,30-06-2020,09:41,30,6,2020
20,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,2.97E+14,2020-06-30 09:39:00+00:00,104,2,0.019230769,0,0,2,0,0,0,0,0,0,30-06-2020,09:39,30,6,2020
21,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6.66E+15,2020-06-30 09:32:00+00:00,170,4,0.023529412,0,0,3,0,0,0,1,0,0,30-06-2020,09:32,30,6,2020
22,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1.69E+15,2020-06-30 09:32:00+00:00,925,21,0.022702703,0,1,7,2,0,6,5,0,0,30-06-2020,09:32,30,6,2020
23,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7.12E+15,2020-06-30 09:05:00+00:00,253,28,0.110671937,0,1,3,0,0,3,2,19,19,30-06-2020,09:05,30,6,2020
24,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8.15E+15,2020-06-30 09:02:00+00:00,52,3,0.057692308,0,0,3,0,0,0,0,12,0,30-06-2020,09:02,30,6,2020
25,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4.00E+15,2020-06-30 09:00:00+00:00,65,5,0.076923077,0,2,3,0,0,0,0,0,0,30-06-2020,09:00,30,6,2020
26,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,3.32E+14,2020-06-30 08:55:00+00:00,215,5,0.023255814,0,0,4,0,0,0,1,0,0,30-06-2020,08:55,30,6,2020
27,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5.53E+15,2020-06-30 08:46:00+00:00,172,10,0.058139535,0,1,2,5,0,0,2,0,0,30-06-2020,08:46,30,6,2020
